Date,Price,Open,High,Low,Vol.,Change %
"Wednesday, September 30, 2020","3,363.00","3,341.21","3,393.56","3,340.47",-,0.83%
"Tuesday, September 29, 2020","3,335.47","3,350.92","3,357.92","3,327.54",-,-0.48%
"Monday, September 28, 2020","3,351.60","3,333.90","3,360.74","3,332.91",-,1.61%
"Friday, September 25, 2020","3,298.46","3,236.66","3,306.88","3,228.44",-,1.60%
"Thursday, September 24, 2020","3,246.59","3,226.14","3,278.70","3,209.45",-,0.30%
"Wednesday, September 23, 2020","3,236.92","3,320.11","3,323.35","3,232.57",-,-2.37%
"Tuesday, September 22, 2020","3,315.57","3,295.75","3,320.31","3,270.95",-,1.05%
"Monday, September 21, 2020","3,281.06","3,285.57","3,285.57","3,229.10",-,-1.16%
"Friday, September 18, 2020","3,319.47","3,357.38","3,362.27","3,292.40",-,-1.12%
"Thursday, September 17, 2020","3,357.01","3,346.86","3,375.17","3,328.82",-,-0.84%
"Wednesday, September 16, 2020","3,385.49","3,411.23","3,428.92","3,384.45",-,-0.46%
"Tuesday, September 15, 2020","3,401.20","3,407.73","3,419.48","3,389.25",-,0.52%
"Monday, September 14, 2020","3,383.54","3,363.56","3,402.93","3,363.56",-,1.27%
"Friday, September 11, 2020","3,340.97","3,352.70","3,368.95","3,310.47",-,0.05%
"Thursday, September 10, 2020","3,339.19","3,412.56","3,425.55","3,329.25",-,-1.76%
"Wednesday, September 9, 2020","3,398.96","3,369.82","3,424.77","3,366.84",-,2.01%
"Tuesday, September 8, 2020","3,331.84","3,371.88","3,379.97","3,329.27",-,-2.78%
"Friday, September 4, 2020","3,426.96","3,453.60","3,479.15","3,349.63",-,-0.81%
"Thursday, September 3, 2020","3,455.06","3,564.74","3,564.85","3,427.41",-,-3.51%
"Wednesday, September 2, 2020","3,580.84","3,543.76","3,588.11","3,535.23",-,1.54%
"Tuesday, September 1, 2020","3,526.65","3,507.44","3,528.03","3,494.60",-,0.75%
"Monday, August 31, 2020","3,500.31","3,509.73","3,514.77","3,493.25",-,-0.22%
"Friday, August 28, 2020","3,508.01","3,494.69","3,509.23","3,484.32",-,0.67%
"Thursday, August 27, 2020","3,484.55","3,485.14","3,501.38","3,468.35",-,0.17%
"Wednesday, August 26, 2020","3,478.73","3,449.97","3,481.07","3,444.15",-,1.02%
"Tuesday, August 25, 2020","3,443.62","3,435.95","3,444.21","3,425.84",-,0.36%
"Monday, August 24, 2020","3,431.28","3,418.09","3,432.09","3,413.13",-,1.00%
"Friday, August 21, 2020","3,397.16","3,386.01","3,399.96","3,379.31",-,0.34%
"Thursday, August 20, 2020","3,385.51","3,360.48","3,390.80","3,354.69",-,0.32%
"Wednesday, August 19, 2020","3,374.85","3,392.51","3,399.54","3,369.66",-,-0.44%
"Tuesday, August 18, 2020","3,389.78","3,387.04","3,395.06","3,370.15",-,0.23%
"Monday, August 17, 2020","3,381.99","3,380.86","3,387.59","3,379.22",-,0.27%
"Friday, August 14, 2020","3,372.85","3,368.66","3,378.51","3,361.64",-,-0.02%
"Thursday, August 13, 2020","3,373.43","3,372.95","3,387.24","3,363.35",-,-0.20%
"Wednesday, August 12, 2020","3,380.35","3,355.46","3,387.89","3,355.46",-,1.40%
"Tuesday, August 11, 2020","3,333.69","3,370.34","3,381.01","3,326.44",-,-0.80%
"Monday, August 10, 2020","3,360.47","3,356.04","3,363.29","3,335.44",-,0.27%
"Friday, August 7, 2020","3,351.28","3,340.05","3,352.54","3,328.72",-,0.06%
"Thursday, August 6, 2020","3,349.16","3,323.17","3,351.03","3,318.14",-,0.64%
"Wednesday, August 5, 2020","3,327.77","3,317.37","3,330.77","3,317.37",-,0.64%
"Tuesday, August 4, 2020","3,306.51","3,289.92","3,306.84","3,286.37",-,0.36%
"Monday, August 3, 2020","3,294.61","3,288.26","3,302.73","3,284.53",-,0.72%
"Friday, July 31, 2020","3,271.12","3,270.45","3,272.17","3,220.26",-,0.77%
"Thursday, July 30, 2020","3,246.22","3,231.76","3,250.92","3,204.13",-,-0.38%
"Wednesday, July 29, 2020","3,258.44","3,227.22","3,264.74","3,227.22",-,1.24%
"Tuesday, July 28, 2020","3,218.44","3,234.27","3,243.72","3,216.17",-,-0.65%
"Monday, July 27, 2020","3,239.41","3,219.84","3,241.43","3,214.25",-,0.74%
"Friday, July 24, 2020","3,215.63","3,218.58","3,227.26","3,200.05",-,-0.62%
"Thursday, July 23, 2020","3,235.66","3,271.64","3,279.99","3,222.66",-,-1.23%
"Wednesday, July 22, 2020","3,276.02","3,254.86","3,279.32","3,253.10",-,0.57%
"Tuesday, July 21, 2020","3,257.30","3,268.52","3,277.29","3,247.77",-,0.17%
"Monday, July 20, 2020","3,251.84","3,224.29","3,258.61","3,215.16",-,0.84%
"Friday, July 17, 2020","3,224.73","3,224.21","3,233.52","3,205.65",-,0.28%
"Thursday, July 16, 2020","3,215.57","3,208.36","3,220.39","3,198.59",-,-0.34%
"Wednesday, July 15, 2020","3,226.56","3,225.98","3,238.28","3,200.76",-,0.91%
"Tuesday, July 14, 2020","3,197.52","3,141.11","3,200.95","3,127.66",-,1.34%
"Monday, July 13, 2020","3,155.22","3,205.08","3,235.32","3,149.43",-,-0.94%
"Friday, July 10, 2020","3,185.04","3,152.47","3,186.82","3,136.22",-,1.05%
"Thursday, July 9, 2020","3,152.05","3,176.17","3,179.78","3,115.70",-,-0.56%
"Wednesday, July 8, 2020","3,169.94","3,153.07","3,171.80","3,136.53",-,0.78%
"Tuesday, July 7, 2020","3,145.32","3,166.44","3,184.15","3,142.93",-,-1.08%
"Monday, July 6, 2020","3,179.72","3,155.29","3,182.59","3,155.29",-,1.59%
"Thursday, July 2, 2020","3,130.01","3,143.64","3,165.81","3,124.52",-,0.45%
"Wednesday, July 1, 2020","3,115.86","3,105.92","3,128.44","3,101.17",-,0.50%
"Tuesday, June 30, 2020","3,100.29","3,050.20","3,111.51","3,047.83",-,1.54%
"Monday, June 29, 2020","3,053.24","3,018.59","3,053.89","2,999.74",-,1.47%
