Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,200.770004,201.679993,199.750000,200.750000,173.911087,151266000
2014-09-18,201.360001,201.850006,201.100006,201.820007,174.838074,94990000
2014-09-19,201.520004,201.899994,200.289993,200.699997,174.680496,121649000
2014-09-22,200.350006,200.380005,198.729996,199.149994,173.331467,125553000
2014-09-23,198.429993,199.259995,197.949997,198.009995,172.339249,111393000
2014-09-24,198.039993,199.690002,197.520004,199.559998,173.688309,107276000
2014-09-25,199.039993,199.050003,196.270004,196.339996,170.885742,150300000
2014-09-26,196.699997,198.389999,196.419998,197.899994,172.243530,103547000
2014-09-29,196.199997,197.889999,196.050003,197.539993,171.930206,95112000
2014-09-30,197.690002,198.300003,196.610001,197.020004,171.477600,131302000
2014-10-01,196.699997,196.770004,193.910004,194.350006,169.153778,177798000
2014-10-02,194.179993,195.059998,192.350006,194.380005,169.179901,157285000
2014-10-03,195.679993,196.940002,195.080002,196.520004,171.042419,121569000
2014-10-06,197.339996,197.600006,195.580002,196.289993,170.842255,104778000
2014-10-07,195.279999,195.720001,193.220001,193.259995,168.205017,147913000
2014-10-08,193.369995,196.919998,192.360001,196.639999,171.146866,186461000
2014-10-09,196.330002,196.600006,192.580002,192.740005,167.752502,210705000
2014-10-10,192.690002,193.649994,190.490005,190.539993,165.837692,221909000
2014-10-13,190.460007,191.149994,187.300003,187.410004,163.113495,230939000
2014-10-14,188.419998,189.820007,187.039993,187.699997,163.365906,215847000
2014-10-15,185.160004,187.690002,181.919998,186.429993,162.260513,380715000
2014-10-16,183.059998,187.580002,182.889999,186.270004,162.121323,270391000
2014-10-17,188.419998,189.750000,187.619995,188.470001,164.036057,214625000
2014-10-20,188.130005,190.449997,188.070007,190.300003,165.628845,130011000
2014-10-21,191.679993,194.199997,191.479996,194.070007,168.910080,154949000
2014-10-22,194.410004,194.910004,192.610001,192.690002,167.708969,151822000
2014-10-23,194.619995,196.199997,194.259995,194.929993,169.658600,154944000
2014-10-24,195.250000,196.490005,194.490005,196.429993,170.964081,117927000
2014-10-27,195.729996,196.449997,195.029999,196.160004,170.729111,82954000
2014-10-28,196.820007,198.419998,196.729996,198.410004,172.687408,106736000
2014-10-29,198.550003,199.119995,196.800003,198.110001,172.426300,142557000
2014-10-30,197.580002,199.949997,197.399994,199.380005,173.531647,113330000
2014-10-31,201.779999,201.820007,200.770004,201.660004,175.516083,146903000
2014-11-03,201.919998,202.449997,201.309998,201.770004,175.611847,93600000
2014-11-04,201.229996,201.600006,200.059998,201.070007,175.002594,93343000
2014-11-05,202.539993,202.589996,201.449997,202.339996,176.107941,91709000
2014-11-06,202.389999,203.259995,201.639999,203.149994,176.812927,107089000
2014-11-07,203.169998,203.600006,202.610001,203.339996,176.978256,89540000
2014-11-10,203.380005,204.039993,203.130005,203.979996,177.535278,66319000
2014-11-11,204.059998,204.309998,203.649994,204.179993,177.709366,54499400
2014-11-12,203.350006,204.240005,203.309998,203.960007,177.517914,90120300
2014-11-13,204.160004,204.830002,203.210007,204.190002,177.718063,85357900
2014-11-14,204.100006,204.490005,203.720001,204.240005,177.761581,80417500
2014-11-17,203.850006,204.580002,203.649994,204.369995,177.874725,80441000
2014-11-18,204.440002,205.919998,204.440002,205.550003,178.901779,76068100
2014-11-19,205.309998,205.550003,204.300003,205.220001,178.614563,82373000
2014-11-20,204.259995,205.710007,204.179993,205.580002,178.927826,72840300
2014-11-21,207.639999,207.839996,205.979996,206.679993,179.885284,142327300
2014-11-24,207.169998,207.389999,206.910004,207.259995,180.390060,65880800
2014-11-25,207.539993,207.789993,206.800003,207.110001,180.259506,79108300
2014-11-26,207.289993,207.759995,207.029999,207.639999,180.720840,62167800
2014-11-28,207.490005,207.869995,206.910004,207.199997,180.337845,57890100
2014-12-01,206.399994,206.539993,205.380005,205.759995,179.084503,103968400
2014-12-02,205.809998,207.339996,205.779999,207.089996,180.242111,74507200
2014-12-03,207.300003,208.149994,207.100006,207.889999,180.938400,68952000
2014-12-04,207.539993,208.270004,206.699997,207.660004,180.738174,91316600
2014-12-05,207.869995,208.470001,207.550003,208.000000,181.034119,91025500
2014-12-08,207.520004,208.119995,205.929993,206.610001,179.824341,108588200
2014-12-09,204.369995,206.600006,203.910004,206.470001,179.702454,125180100
2014-12-10,205.910004,205.979996,202.929993,203.160004,176.821594,159856400
2014-12-11,203.880005,206.190002,203.710007,204.190002,177.718063,159012800
2014-12-12,202.639999,203.820007,200.850006,200.889999,174.845886,202330200
2014-12-15,201.979996,202.529999,198.779999,199.509995,173.644791,189965800
2014-12-16,198.580002,202.399994,197.860001,197.910004,172.252258,259543800
2014-12-17,198.440002,202.339996,198.289993,201.789993,175.629211,253910100
2014-12-18,204.740005,212.970001,203.919998,206.779999,179.972321,257633900
2014-12-19,206.429993,207.330002,205.610001,206.520004,180.738052,245084600
2014-12-22,206.750000,207.470001,206.460007,207.470001,181.569443,148318900
2014-12-23,208.169998,208.229996,207.399994,207.750000,181.814499,122167900
2014-12-24,208.020004,208.339996,207.720001,207.770004,181.832001,42963400
2014-12-26,208.309998,208.850006,208.250000,208.440002,182.418396,57326700
2014-12-29,208.220001,208.970001,208.139999,208.720001,182.663422,79643900
2014-12-30,208.210007,208.369995,207.509995,207.600006,181.683228,73540800
2014-12-31,207.990005,208.190002,205.389999,205.539993,179.880341,130333800
2015-01-02,206.380005,206.880005,204.179993,205.429993,179.784119,121465900
2015-01-05,204.169998,204.369995,201.350006,201.720001,176.537308,169632600
2015-01-06,202.089996,202.720001,198.860001,199.820007,174.874496,209151400
2015-01-07,201.419998,202.720001,200.880005,202.309998,177.053650,125346700
2015-01-08,204.009995,206.160004,203.990005,205.899994,180.195480,147217800
2015-01-09,206.399994,206.419998,203.509995,204.250000,178.751434,158567300
2015-01-12,204.410004,204.600006,201.919998,202.649994,177.351196,144396100
2015-01-13,204.119995,205.479996,200.509995,202.080002,176.852371,214553300
2015-01-14,199.649994,201.100006,198.570007,200.860001,175.784683,192991100
2015-01-15,201.630005,202.009995,198.880005,199.020004,174.174347,176613900
2015-01-16,198.770004,201.820007,198.550003,201.630005,176.458527,211879600
2015-01-20,202.399994,202.720001,200.169998,202.059998,176.834808,130991100
2015-01-21,201.500000,203.660004,200.940002,203.080002,177.727478,122942700
2015-01-22,203.990005,206.259995,202.330002,206.100006,180.370499,174356000
2015-01-23,205.789993,206.100006,204.809998,204.970001,179.381561,117516800
2015-01-26,204.710007,205.559998,203.850006,205.449997,179.801605,92009700
2015-01-27,202.970001,204.119995,201.740005,202.740005,177.429947,134044600
2015-01-28,204.169998,204.289993,199.910004,200.139999,175.154526,168514300
2015-01-29,200.380005,202.300003,198.679993,201.990005,176.773560,173585400
2015-01-30,200.570007,202.169998,199.130005,199.449997,174.550644,197729700
2015-02-02,200.050003,202.029999,197.860001,201.919998,176.712311,163107000
2015-02-03,203.000000,204.850006,202.550003,204.839996,179.267807,124212900
2015-02-04,203.919998,205.380005,203.509995,204.059998,178.585144,134306700
2015-02-05,204.860001,206.300003,204.770004,206.119995,180.388000,97953200
2015-02-06,206.559998,207.240005,204.919998,205.550003,179.889175,125672000
2015-02-09,204.770004,205.639999,204.139999,204.630005,179.084030,87219000
2015-02-10,205.880005,207.119995,204.679993,206.809998,180.991867,96164200
2015-02-11,206.610001,207.449997,205.830002,206.929993,181.096863,91087800
2015-02-12,207.889999,208.990005,206.970001,208.919998,182.838455,97545900
2015-02-13,209.070007,209.839996,208.759995,209.779999,183.591064,93670400
2015-02-17,209.399994,210.320007,209.100006,210.110001,183.879868,76968200
2015-02-18,209.660004,210.220001,209.339996,210.130005,183.897430,80652900
2015-02-19,209.410004,210.419998,209.240005,209.979996,183.766144,91462500
2015-02-20,209.479996,211.330002,208.729996,211.240005,184.868835,140896400
2015-02-23,210.940002,211.210007,210.479996,211.210007,184.842560,74411100
2015-02-24,211.119995,212.050003,210.759995,211.809998,185.367676,72472300
2015-02-25,211.660004,212.240005,211.220001,211.630005,185.210144,73061700
2015-02-26,211.520004,211.710007,210.649994,211.380005,184.991364,72697900
2015-02-27,211.259995,211.580002,210.600006,210.660004,184.361191,108076000
2015-03-02,210.779999,212.059998,210.720001,211.990005,185.525208,87491400
2015-03-03,211.470001,212.050003,210.080002,211.119995,184.763763,110325800
2015-03-04,210.399994,210.490005,209.059998,210.229996,183.984924,114497200
2015-03-05,210.619995,210.800003,209.850006,210.460007,184.186172,76873000
2015-03-06,209.419998,209.940002,207.100006,207.500000,181.595718,188128000
2015-03-09,207.740005,208.789993,207.550003,208.360001,182.348373,89818900
2015-03-10,206.710007,206.809998,204.929993,204.979996,179.390305,157121300
2015-03-11,205.289993,205.500000,204.399994,204.500000,178.970245,110145700
2015-03-12,205.259995,207.179993,205.199997,207.100006,181.245667,93993500
